"GEOID","NAME","variable","estimate","moe","Year"
"27","Minnesota","B01003_001",5383661,NA,2014
"28","Mississippi","B01003_001",2984345,NA,2014
"29","Missouri","B01003_001",6028076,NA,2014
"30","Montana","B01003_001",1006370,NA,2014
"31","Nebraska","B01003_001",1855617,NA,2014
"32","Nevada","B01003_001",2761584,NA,2014
"33","New Hampshire","B01003_001",1321069,NA,2014
"34","New Jersey","B01003_001",8874374,NA,2014
"35","New Mexico","B01003_001",2080085,NA,2014
"36","New York","B01003_001",19594330,NA,2014
"37","North Carolina","B01003_001",9750405,NA,2014
"38","North Dakota","B01003_001",704925,NA,2014
"39","Ohio","B01003_001",11560380,NA,2014
"40","Oklahoma","B01003_001",3818851,NA,2014
"41","Oregon","B01003_001",3900343,NA,2014
"42","Pennsylvania","B01003_001",12758729,NA,2014
"44","Rhode Island","B01003_001",1053252,NA,2014
"45","South Carolina","B01003_001",4727273,NA,2014
"46","South Dakota","B01003_001",834708,NA,2014
"47","Tennessee","B01003_001",6451365,NA,2014
"48","Texas","B01003_001",26092033,NA,2014
"49","Utah","B01003_001",2858111,NA,2014
"50","Vermont","B01003_001",626358,NA,2014
"51","Virginia","B01003_001",8185131,NA,2014
"53","Washington","B01003_001",6899123,NA,2014
"54","West Virginia","B01003_001",1853881,NA,2014
"55","Wisconsin","B01003_001",5724692,NA,2014
"56","Wyoming","B01003_001",575251,NA,2014
"72","Puerto Rico","B01003_001",3638965,NA,2014
"01","Alabama","B01003_001",4830620,NA,2015
"02","Alaska","B01003_001",733375,NA,2015
"04","Arizona","B01003_001",6641928,NA,2015
"05","Arkansas","B01003_001",2958208,NA,2015
"06","California","B01003_001",38421464,NA,2015
"08","Colorado","B01003_001",5278906,NA,2015
"09","Connecticut","B01003_001",3593222,NA,2015
"10","Delaware","B01003_001",926454,NA,2015
"11","District of Columbia","B01003_001",647484,NA,2015
"12","Florida","B01003_001",19645772,NA,2015
"13","Georgia","B01003_001",10006693,NA,2015
"15","Hawaii","B01003_001",1406299,NA,2015
"16","Idaho","B01003_001",1616547,NA,2015
"17","Illinois","B01003_001",12873761,NA,2015
"18","Indiana","B01003_001",6568645,NA,2015
"19","Iowa","B01003_001",3093526,NA,2015
"20","Kansas","B01003_001",2892987,NA,2015
"21","Kentucky","B01003_001",4397353,NA,2015
"22","Louisiana","B01003_001",4625253,NA,2015
"23","Maine","B01003_001",1329100,NA,2015
"24","Maryland","B01003_001",5930538,NA,2015
"25","Massachusetts","B01003_001",6705586,NA,2015
"26","Michigan","B01003_001",9900571,NA,2015
"27","Minnesota","B01003_001",5419171,NA,2015
